7700,1336
11511,1480
24414,769
703,564
5238,2289
18547,867
825,2604
1709,1730
15416,800
14775,1157
804,1434
24604,2630
6231,1194
23353,1049
18703,1479
286,726
10557,1059
1747,938
23056,853
12194,1211
24104,1436
11476,705
6149,1437
9416,706
3396,817
15467,1965
21037,1279
20843,1150
8560,2061
12665,1216
24640,613
10858,1217
5497,1326
22563,1494
8485,1191
12483,1066
18217,1159
6187,1154
20498,1101
15337,2005
7195,1499
8427,1069
2332,1743
1294,1450
19222,1383
15135,1670
20063,680
16586,1459
5650,2535
16929,1593
9356,621
17533,1303
13302,615
2210,1498
7691,1165
21107,1875
13926,1375
19408,2228
14149,1073
8313,1836
21145,815
14181,1186
24448,1200
9090,511
2948,1315
6154,1398
23578,1727
13769,849
2169,1073
20939,2473
13725,1430
22713,713
12092,821
12662,1498
21963,605
7832,1676
21184,2119
22985,1668
6236,1331
2135,1100
898,1376
15468,1382
15008,1258
9551,2189
10298,607
13885,1766
8531,1086
12924,1588
5758,1247
14548,1653
2204,923
6201,936
21734,1455
10184,1078
8893,518
14545,2527
21188,1668
23258,595
24861,1634
4931,1783
18400,811
599,1351
10613,1279
19975,1733
10111,612
18579,837
2202,2610
5416,1944
7681,1667
22983,805
9867,702
9069,1032
19291,1319
3540,1346
5779,1258
23756,1603
17066,1404
8568,1657
9670,612
5109,1697
6428,1970
713,1751
24986,1103
10771,1826
10662,1160
16965,1335
8952,933
14583,1373
7557,1453
13442,1409
10954,1603
13480,1210
21469,2145
13279,926
5823,1762
21079,1163
18913,1048
5151,1432
4184,1145
5432,1260
2821,740
23354,530
7648,1223
14382,781
21017,992
9757,2210
23638,1087
2632,784
23652,1583
5662,3195
14935,1099
17273,1074
22706,512
9754,1328
14379,1294
22966,1815
23203,1481
5246,1997
9434,1047
20306,779
22048,1058
20177,1185
15388,1260
20396,2423
19238,732
21181,1459
3056,1334
24000,534
7267,1274
15879,1440
5767,2620
7614,526
17810,1319
22024,1278
16350,1158
15772,853
19749,1176
5720,3265
14514,1657
11304,1431
12730,674
23951,1717
4536,536
14023,1266
7268,1053
23726,585
4109,1769
2582,998
19237,952
12189,763
19312,1579
24944,1091
19712,1624
9595,1805
17987,1894
4207,2258
22539,1147
6985,850
15807,793
11949,1184
19845,531
8904,1806
16780,583
18321,1499
15644,1801
12920,512
16912,1463
12296,1692
13923,584
752,531
22964,613
17504,648
16658,554
11269,1154
15057,1433
5258,716
8797,1098
12335,1106
1468,1198
7802,737
20376,1434
17789,917
6797,1267
17056,1346
13230,1355
13307,1152
17553,1063
17446,644
9469,1846
8222,1204
7146,644
11808,1097
4686,819
6995,1614
11588,862
4378,1132
11492,1808
5098,1498
24718,1495
11596,1232
20788,1271
19788,1327
12227,1245
13297,1447
652,1241
2650,718
20506,985
23224,1083
17805,1085
15756,1489
17828,551
13375,1367
24101,1154
6216,939
19399,1555
6048,1783
16601,1158
24168,1425
24511,1052
4475,1005
2304,1292
913,625
9704,1757
1547,1443
13564,1385
12191,1111
11287,1486
18493,2024
4159,650
6600,1325
21521,1377
5703,648
13746,1168
20490,1658
4632,798
20231,1636
